ANGLE,DISTANCE
-138.804664,73.199997
-138.542275,72.699997
-138.279887,72.099998
-138.017485,71.699997
-137.755096,70.300003
-137.492708,69.700005
-137.230319,69.199997
-136.967930,68.699997
-136.705528,68.199997
-136.443140,67.799995
-136.180751,67.199997
-135.918363,66.799995
-135.655974,65.800003
-135.393585,65.400002
-135.131197,64.900002
-134.868808,64.500000
-134.606406,64.099998
-134.344018,63.500000
-134.081629,63.200005
-133.819241,62.599998
-133.556852,62.099998
-133.294450,61.299999
-133.032061,60.900002
-132.769673,60.500000
-132.507284,60.000004
-132.244896,59.799999
-131.982507,59.399998
-131.720118,58.999996
-131.457730,58.700001
-131.195328,58.299999
-130.932939,57.700001
-130.670551,57.200005
-130.408162,56.900002
-129.358594,38.100002
-129.096206,37.299999
-128.833817,37.200001
-128.571428,37.000000
-128.309040,36.899998
-128.046651,37.099998
-127.784249,37.099998
-127.521861,36.899998
-127.259472,37.000000
-126.997084,36.899998
-126.734695,36.899998
-126.472293,36.899998
-126.209904,37.000000
-125.947516,37.000000
-125.685127,37.200001
-125.160350,40.099998
-124.897961,40.400002
-124.635573,40.700001
-123.061214,35.700001
-122.798826,35.600002
-122.536437,35.600002
-122.274049,35.299999
-122.011660,35.200001
-121.749272,34.799999
-121.486883,34.599998
-121.224494,34.500000
-120.962106,34.000000
-120.699704,33.700001
-120.437315,33.700001
-120.174927,33.799999
-119.912524,33.599998
-119.650136,33.599998
-119.387747,33.799999
-119.125359,33.599998
-118.862970,33.399998
-118.600582,33.399998
-118.338193,33.399998
-117.288625,27.799999
-117.026237,27.500000
-116.763848,27.100000
-116.501446,26.600000
-116.239057,26.400000
-115.976669,26.199999
-78.454812,32.300003
-78.192417,32.300003
-77.930028,32.200001
-77.667640,32.200001
-77.405244,32.100002
-77.142856,31.900002
-76.880467,32.500000
-75.830899,32.500000
-75.568511,32.600002
-75.306122,31.700001
-73.731777,33.399998
-73.469389,32.500000
-73.206993,32.300003
-72.944605,32.200001
-72.682216,32.200001
-72.419821,32.200001
-72.157432,32.300003
