ANGLE,DISTANCE
107.205886,179.800003
107.470597,179.600006
107.735308,179.600006
107.999991,180.000000
109.058834,208.899994
109.323545,208.899994
109.588229,208.899994
109.852940,208.800003
110.117650,208.999985
110.382361,209.299988
110.647072,209.199997
110.911756,209.400009
111.176466,209.400009
111.441177,209.500000
111.705888,209.699982
111.970599,209.899994
112.235310,209.699982
112.499993,209.999985
112.764704,209.999985
113.029415,210.100006
113.294126,210.299988
113.558836,210.299988
113.823520,210.400009
114.088231,210.500000
114.352941,210.500000
114.617652,210.599991
114.882363,211.199997
115.147074,211.299988
115.411757,211.299988
115.676468,211.800003
115.941179,211.800003
116.205890,211.899994
116.470601,212.100006
116.735284,212.500000
116.999995,212.400009
117.264706,212.599991
117.529417,213.199997
117.794127,213.400009
118.058838,213.899994
118.323522,213.700012
118.588233,213.800003
118.852943,214.100006
119.117654,214.400009
119.382365,214.500000
119.647049,214.800003
119.911759,215.100006
120.176470,215.000015
120.441181,215.500000
120.705892,215.599991
120.970603,216.000015
121.235286,216.400009
121.499997,216.500000
121.764708,217.199997
122.029419,217.300003
122.294129,217.500000
122.558840,218.100006
122.823524,218.399994
123.088234,218.399994
123.352945,218.899994
123.617656,219.000000
123.882367,219.199997
124.147050,220.000000
124.411761,220.199997
124.676472,220.399994
124.941183,219.699997
125.205894,221.399994
125.470605,222.099991
125.735288,222.199982
126.794131,267.399994
127.058815,267.700012
127.323526,268.100006
127.588236,269.000000
127.852947,269.300018
128.117658,270.100006
128.382369,270.900024
128.647052,271.399994
128.911763,271.900024
129.176474,272.100006
129.441185,273.100006
129.705896,273.100006
129.970579,273.700012
130.235290,274.100006
130.500001,274.500000
130.764712,275.500000
131.029422,276.299988
131.294133,277.099976
131.558817,278.099976
131.823527,278.200012
132.088238,279.099976
132.352949,279.299988
132.617660,280.500000
132.882343,280.600006
133.147054,281.100006
133.411765,282.100006
133.676476,283.500000
133.941187,283.800018
134.205898,284.400024
134.470581,284.800018
134.735292,285.800018
135.000003,286.100006
135.264713,286.500000
135.529424,287.299988
135.794108,288.399994
136.058819,288.799988
136.323529,290.700012
136.588240,291.799988
136.852951,292.199982
137.117662,292.899994
137.382345,293.700012
137.647056,294.500000
137.911767,295.100006
138.176478,296.600006
138.441189,297.100006
138.705872,298.399994
138.970583,299.100006
139.235294,299.500000
139.500005,300.000000
139.764715,301.399994
140.029426,302.899994
140.294110,304.200012
140.558820,305.699982
140.823531,307.600006
141.088242,309.100006
141.352953,310.800018
141.617636,313.200012
141.882347,314.000000
142.147058,313.700012
142.411769,312.500000
142.676480,312.500000
142.941191,311.500000
143.205874,311.399994
143.470585,311.600006
143.735296,313.399994
144.000006,315.100006
144.264717,316.899994
144.529428,317.600006
144.794112,319.799988
145.058822,321.000000
145.323533,322.799988
145.588244,324.399994
145.852955,326.200012
146.117638,327.399994
146.382349,328.699982
146.647060,330.100006
146.911771,332.699982
147.176482,334.000000
147.441192,335.299988
147.705876,336.899994
147.970587,338.200012
148.235298,339.599976
148.500008,340.199982
148.764719,341.599976
149.029403,343.799988
149.294114,345.399994
149.558824,346.900024
149.823535,348.100006
150.088246,349.899994
150.352957,351.299988
150.617640,353.000000
150.882351,354.099976
151.147062,355.600006
151.411773,356.299988
151.676484,358.100006
152.470589,359.699982
152.735299,358.699982
153.000010,356.000000
153.264721,352.699982
154.323537,354.600006
154.588248,353.899994
154.852931,352.299988
155.117642,350.700012
155.382353,349.500000
155.647064,347.700012
155.911775,346.300018
156.176485,345.300018
156.441169,343.899994
156.705880,342.799988
156.970591,340.100006
157.235301,339.199982
157.500012,337.299988
157.764696,336.100006
158.029407,337.799988
158.294117,340.100006
158.558828,342.700012
158.823539,344.600006
159.088250,346.700012
159.352933,347.900024
159.617644,350.799988
159.882355,353.000000
160.147066,355.200012
160.411777,356.399994
160.676460,358.600006
160.941171,361.700012
161.205882,364.199982
161.470592,366.500000
161.735303,367.899994
162.000014,370.100006
162.264698,361.100006
163.058830,328.299988
163.323541,327.699982
163.588224,327.099976
163.852935,323.000000
164.117646,322.600006
164.382357,321.399994
164.647068,320.900024
164.911778,319.799988
165.176462,320.300018
165.441173,318.199982
165.705884,317.700012
165.970594,316.799988
166.235305,316.100006
166.500016,315.599976
166.764700,314.599976
167.029410,314.000000
167.294121,313.100006
167.558832,313.000000
167.823543,310.800018
168.088226,311.600006
168.352937,310.500000
168.617648,309.500000
168.882359,309.200012
169.147070,307.500000
169.411780,307.399994
169.676464,305.399994
169.941175,305.200012
170.205885,304.299988
170.470596,303.099976
171.529412,303.600006
171.794123,300.600006
172.058834,300.000000
172.323545,299.399994
172.588228,299.200012
172.852939,298.500000
173.117650,297.900024
173.382361,297.199982
173.647071,297.100006
173.911755,296.700012
174.176466,295.900024
174.441177,294.600006
174.705887,294.700012
174.970598,294.799988
175.235309,294.000000
175.499993,294.100006
175.764703,294.199982
176.029414,294.199982
176.294125,295.000000
176.558836,294.899994
176.823519,294.899994
177.088230,294.199982
177.352941,295.300018
177.617652,293.199982
177.882363,290.500000
178.147073,288.000000
178.411757,285.500000
178.676468,282.500000
178.941178,280.500000
179.205889,280.699982
179.470600,281.100006
